Time,BTC_total_value,Fiat_total_value,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513708078,0.0014063419434388999,25.869,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513708141,0.0014068413958655999,25.888,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513708209,0.0014275511211249998,26.271,0.18381197,1.866e-05,0.23952804,8.779501269999999,105.20477664,3.6707430700000003,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.014586140000000001
1513708273,0.0014289668398114,26.28,0.18381197,1.866e-05,0.23952804,8.779501269999999,105.20477664,3.6707430700000003,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.014586140000000001
1513708337,0.0014291106985755003,26.338,0.18381197,1.866e-05,0.23952804,8.779501269999999,105.20477664,3.6707430700000003,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.014586140000000001
1513708400,0.0014252031024415,26.282,0.18381197,1.866e-05,0.23952804,8.779501269999999,105.20477664,3.6707430700000003,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.014586140000000001
1513708464,0.0014272256197247004,26.31,0.18381197,1.866e-05,0.23952804,8.779501269999999,105.20477664,3.6707430700000003,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.014586140000000001
1513708529,0.0014262508805263,26.321,0.18381197,1.866e-05,0.23952804,8.779501269999999,105.20477664,3.6707430700000003,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.014586140000000001
1513708594,0.0014241809001772998,26.281,0.18381197,1.866e-05,0.23952804,8.779501269999999,105.20477664,3.6707430700000003,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.014586140000000001
1513708657,0.0014208849986965001,26.203,0.18381197,1.866e-05,0.23952804,8.779501269999999,105.20477664,3.6707430700000003,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.014586140000000001
1513708721,0.0014226949221582,26.145,0.18381197,1.866e-05,0.23952804,8.779501269999999,105.20477664,3.6707430700000003,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.014586140000000001
