Time,BTC_total,Fiat_total,MAX,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513982908,0.003441169755527101 ,50.548,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513982974,0.0034409021,50.638,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983039,0.0034397857695758   ,50.681,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983104,0.0034464824295607   ,50.888,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983169,0.0034509033351272   ,51.071,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983234,0.0034507208,51.069,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983300,0.0034509628830207   ,50.945,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983367,0.0034339845,50.727,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983433,0.0034388379,50.85 ,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983498,0.0034318327,50.793,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983564,0.0034439818,50.869,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983632,0.0034423536,50.975,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983697,0.0034452741896008   ,51.082,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983761,0.0034446541746488   ,51.021,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983825,0.0034321729012365   ,50.75 ,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
